reading_id,device_id,timestamp,pm25_raw,pm10_raw,co_raw,temperature,humidity,no2_mv,no2_raw
1537,device_01,2025-11-12 14:18:43.941337,29,31,165,23.4,38.5,1149.5,1300
1538,device_02,2025-11-12 14:19:10.169458,2,2,1075,24.3,37.6,1004.4,1052
1539,device_03,2025-11-12 14:19:35.547235,20,20,610,23.4,39.3,1280.2,1413
1540,device_01,2025-11-12 14:19:43.588423,40,41,112,25.9,42,1007.1,1115
1541,device_02,2025-11-12 14:20:10.283478,1,1,1078,26.5,41,877.8,898
1542,device_04,2025-11-12 14:20:32.239712,17,17,81,24.8,46.9,1227.2,1322
1543,device_03,2025-11-12 14:20:35.391221,27,27,480,25.5,42.1,1119.6,1216
1544,device_01,2025-11-12 14:20:43.610836,0,0,105,26.4,42,952.9,1046
1545,device_05,2025-11-12 14:20:53.272927,15,15,801,22.7,52.7,1022.8,1087
1546,device_02,2025-11-12 14:21:10.232973,0,0,1087,26.5,41,861,877
1547,device_04,2025-11-12 14:21:30.893587,20,20,30,24.8,47,1130.8,1203
1548,device_03,2025-11-12 14:21:35.316753,0,0,421,25.5,42,1048.4,1124
1549,device_01,2025-11-12 14:34:52.041613,20,20,108,24.2,40.8,887.8,964
1550,device_01,2025-11-12 14:35:52.21532,0,0,87,26.5,45,819.2,873
1551,device_03,2025-11-12 14:36:04.938181,6,6,379,24.3,39.4,923.4,969
1552,device_02,2025-11-12 14:36:45.690944,2,2,1080,25.2,39.7,941.3,975
1553,device_01,2025-11-12 14:36:52.062532,0,0,81,26.7,45,809.1,863
1554,device_03,2025-11-12 14:37:01.227183,0,0,329,26.3,43,829.6,854
1555,device_04,2025-11-12 14:37:24.801004,20,21,100,25.8,48.7,1132.2,1205
1556,device_02,2025-11-12 14:37:45.16935,0,0,1093,27.5,44,857.2,867
1557,device_01,2025-11-12 14:37:53.41384,0,0,82,27.5,44,802.8,852
1558,device_03,2025-11-12 14:38:03.305406,0,0,309,26.4,43,804.7,824
1559,device_04,2025-11-12 14:38:23.499681,0,0,116,25.8,49,1040.9,1095
1560,device_05,2025-11-12 14:38:25.062589,8,8,591,24.1,55.1,878.6,901
1561,device_02,2025-11-12 14:38:45.180343,0,0,1099,27.4,44.2,850.6,866
1562,device_01,2025-11-12 14:38:51.467328,0,0,81,27.5,44,791.7,838
1563,device_03,2025-11-12 14:39:00.747071,0,0,296,26.4,44,798.7,815
